pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,,,,,29,1,117,3,816.7670174000086,,816.7534986000101,816.7670174000086,817.7667308000091,817.7667308000091,817.7667308000091,817.7667308000091,817.7667308000091,818.7665414000076,818.7665414000076,819.2680420000106,v,1,0.4986345000070287,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,29,2,118,2,819.2832435000018,,819.269535000014,819.2832435000018,820.2830201000033,820.2830201000033,820.2830201000033,820.2830201000033,820.2830201000033,821.2826828000107,821.2826828000107,822.2667021000088,c,1,0.9758818999980576,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,29,3,119,2,822.2824173000117,,822.2674252000143,822.2824173000117,823.2823639000126,823.2823639000126,823.2823639000126,823.2823639000126,823.2823639000126,824.282140100011,824.282140100011,825.0831794000114,c,1,0.7945253000070807,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,30,0,120,2,825.0986843000137,,825.0843811000086,825.0986843000137,826.097760100005,826.097760100005,826.097760100005,826.097760100005,826.1140675000061,827.0981314000092,827.0981314000092,827.7997870000108,c,1,0.686312200006796,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,30,1,121,1,827.8148106000008,,827.8013884000102,827.8148106000008,828.8149362000113,828.8149362000113,828.8149362000113,828.8149362000113,828.8149362000113,829.8143327000143,829.8143327000143,830.4655813000136,x,1,0.6425885000062408,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,30,2,122,2,830.4806122000009,,830.4668274000142,830.4806122000009,831.4805355000135,831.4805355000135,831.4805355000135,831.4805355000135,831.4805355000135,832.4803528000048,832.4803528000048,832.9984462000139,c,1,0.5068706000020029,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,30,3,123,0,833.0135486000072,,832.9997922000039,833.0135486000072,834.0135011000093,834.0135011000093,834.0135011000093,834.0135011000093,834.0135011000093,835.0131415000069,835.0131415000069,835.848679600007,z,1,0.8180061000020942,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,31,0,124,3,835.8630384000135,,835.8505488000083,835.8630384000135,836.8629627000046,836.8629627000046,836.8629627000046,836.8629627000046,836.8629627000046,837.8627624000073,837.8627624000073,838.4976345000032,v,1,0.6328879000066081,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,31,1,125,1,838.5127088000008,,838.4990800000087,838.5127088000008,839.5121744000062,839.5121744000062,839.5121744000062,839.5121744000062,839.5121744000062,840.5119683000084,840.5119683000084,841.2133633000049,x,1,0.6923432999901706,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,31,2,126,0,841.2284922000108,,841.2146273000108,841.2284922000108,842.2273777000082,842.2273777000082,842.2273777000082,842.2273777000082,842.2273777000082,843.2282854000077,843.2282854000077,843.8631227000005,z,1,0.629206300000078,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,31,3,127,1,843.8779353999998,,843.8645326000114,843.8779353999998,844.8776511000033,844.8776511000033,844.8776511000033,844.8776511000033,844.8776511000033,845.8775580000074,845.8775580000074,846.5466076000012,x,1,0.6674371999979485,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,32,0,128,2,846.5608707000065,,846.5480255000002,846.5608707000065,847.5606298000057,847.5606298000057,847.5606298000057,847.5606298000057,847.5606298000057,848.5603061000002,848.5603061000002,849.3956204000133,c,1,0.8335551000054693,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,32,1,129,1,849.4102150000108,,849.3974564000091,849.4102150000108,850.4092649000086,850.4092649000086,850.4092649000086,850.4092649000086,850.4092649000086,851.4097978000063,851.4097978000063,852.1944246000057,x,1,0.7787355999898864,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,32,2,130,0,852.209597500012,,852.1956394000008,852.209597500012,853.2096095000015,853.2096095000015,853.2096095000015,853.2096095000015,853.2096095000015,854.2082426000125,854.2082426000125,854.927022200005,z,1,0.7073993000085466,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,32,3,131,0,854.9422647000029,,854.9283630999998,854.9422647000029,855.9422648000036,855.9422648000036,855.9422648000036,855.9422648000036,855.9422648000036,856.9419381000043,856.9419381000043,857.576413200004,z,1,0.6289772000018274,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,33,0,132,3,857.5924454000051,,857.5777579000132,857.5924454000051,858.591571500001,858.591571500001,858.591571500001,858.591571500001,858.591571500001,859.5915262000053,859.5915262000053,860.3759293000039,v,1,0.7768507000000682,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,33,1,133,3,860.3912385000003,,860.3772050000116,860.3912385000003,861.3908560000127,861.3908560000127,861.3908560000127,861.3908560000127,861.3908560000127,862.3907494000014,862.3907494000014,862.9756783000048,v,1,0.5833246999973198,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,33,2,134,1,862.9907795000036,,862.9769805000105,862.9907795000036,863.9905027000059,863.9905027000059,863.9905027000059,863.9905027000059,863.9905027000059,864.9901053000067,864.9901053000067,865.9088009000116,x,1,0.9019532000093022,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
